,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cidreira,100,BR,1562984245,90,-30.17,-50.22,63.62,4.92
1,San Quintin,0,PH,1562984245,65,17.54,120.52,86.84,6.8
2,Kapaa,75,US,1562984245,66,22.08,-159.32,87.8,13.87
3,Menzelinsk,90,RU,1562984245,93,55.73,53.11,59.0,17.9
4,Rikitea,62,PF,1562984245,78,-23.12,-134.97,74.42,14.14
5,Mahebourg,20,MU,1562984246,77,-20.41,57.7,64.99,4.7
6,Kedrovyy,0,RU,1562984246,67,56.17,91.82,62.6,2.24
7,Atuona,93,PF,1562984246,75,-9.8,-139.03,80.36,17.18
8,Saskylakh,100,RU,1562984246,57,71.97,114.09,55.88,7.83
9,Barrow,0,AR,1562984246,77,-38.31,-60.23,42.2,4.92
10,Fallon,1,US,1562984247,57,46.84,-105.12,78.8,7.65
11,Sitka,0,US,1562984247,68,37.17,-99.65,78.01,8.88
12,Vaini,90,IN,1562984247,100,15.34,74.49,71.6,5.82
13,Hobart,75,AU,1562984247,75,-42.88,147.33,45.0,12.75
14,Yellowknife,75,CA,1562984247,47,62.45,-114.38,59.0,9.17
15,Flinders,0,AU,1562984248,37,-34.58,150.85,57.99,21.92
16,Provideniya,100,RU,1562984248,38,64.42,-173.23,74.24,5.97
17,Ushuaia,40,AR,1562984248,80,-54.81,-68.31,39.2,4.7
18,Dehui,0,CN,1562984248,78,44.53,125.71,73.4,4.47
19,Broome,37,GB,1562984249,87,52.47,1.45,61.0,4.7
20,Saint-Philippe,40,CA,1562984249,68,45.36,-73.48,72.0,8.05
21,Tuktoyaktuk,75,CA,1562984249,75,69.44,-133.03,46.4,6.93
22,Faanui,0,PF,1562984249,68,-16.48,-151.75,78.02,4.16
23,Tuatapere,100,NZ,1562984249,75,-46.13,167.69,54.0,1.99
24,Victoria,75,BN,1562984168,83,5.28,115.24,84.2,1.12
25,Opuwo,7,NA,1562984250,57,-18.06,13.84,49.76,3.29
26,Ostersund,95,SE,1562984250,87,63.18,14.64,53.6,11.41
27,Bluff,37,AU,1562984250,35,-23.58,149.07,71.54,3.11
28,Fayaoue,64,NC,1562984250,69,-20.65,166.53,74.24,11.52
29,Tynda,10,RU,1562984251,58,55.15,124.74,76.04,2.73
30,Dunedin,100,NZ,1562984251,66,-45.87,170.5,52.0,5.01
31,Emmett,1,US,1562984251,23,43.87,-116.5,98.6,20.15
32,Lincoln,77,GB,1562984251,87,53.23,-0.54,61.0,5.82
33,Poum,40,MK,1562984251,81,41.28,20.71,51.8,4.7
34,Puerto Ayora,70,EC,1562984252,92,-0.74,-90.35,70.0,5.01
35,Bredasdorp,1,ZA,1562984252,82,-34.53,20.04,55.4,1.63
36,Linjiang,68,CN,1562984252,84,41.81,126.91,72.8,0.85
37,Jamestown,15,AU,1562984252,64,-33.21,138.6,51.2,14.36
38,Ahuimanu,20,US,1562984252,78,21.44,-157.84,89.6,14.99
39,Bushehr,0,IR,1562984253,52,28.97,50.84,91.4,16.11
40,Busselton,44,AU,1562984253,60,-33.64,115.35,60.01,12.88
41,Port Alfred,2,ZA,1562984253,91,-33.59,26.89,57.0,3.0
42,Beringovskiy,43,RU,1562984253,44,63.05,179.32,74.42,4.0
43,Qaanaaq,100,GL,1562984253,64,77.48,-69.36,43.64,6.67
44,New Norfolk,75,AU,1562984254,75,-42.78,147.06,45.0,12.75
45,Kahului,20,US,1562984254,43,20.89,-156.47,89.6,26.4
46,Bethel,40,US,1562984254,56,60.79,-161.76,69.8,10.29
47,Tarsus,20,TR,1562984175,88,36.92,34.88,75.2,4.7
48,Hilo,40,US,1562984254,58,19.71,-155.08,82.4,10.29
49,Xinxiang,16,CN,1562984255,39,35.3,113.88,85.76,5.55
50,Nome,75,US,1562984255,78,30.04,-94.42,88.0,5.82
51,Ilulissat,0,GL,1562984255,93,69.22,-51.1,41.0,4.7
52,Upernavik,12,GL,1562984255,82,72.79,-56.15,45.26,13.53
53,Punta Arenas,90,CL,1562984255,93,-53.16,-70.91,41.0,12.75
54,Georgetown,40,GY,1562984142,83,6.8,-58.16,80.6,9.17
55,Ponta do Sol,0,BR,1562984256,61,-20.63,-46.0,56.78,1.32
56,Lebu,100,ET,1562984256,94,8.96,38.73,55.52,1.21
57,Cape Town,0,ZA,1562983963,100,-33.93,18.42,51.01,1.12
58,Kulhudhuffushi,68,MV,1562984257,73,6.62,73.07,83.24,6.6
59,Torbay,20,CA,1562984257,87,47.66,-52.73,50.0,2.24
60,Cruz Alta,0,AR,1562984257,73,-33.01,-61.81,43.0,4.92
61,Hithadhoo,0,MV,1562984257,75,-0.6,73.08,84.32,13.62
62,Verkhoyansk,0,RU,1562984257,31,67.55,133.39,84.14,3.69
63,Kariba,0,ZW,1562984258,54,-16.53,28.78,54.8,4.29
64,Novosheshminsk,100,RU,1562984258,94,55.06,51.22,58.58,14.23
65,Lovozero,90,RU,1562984258,91,68.01,35.02,43.46,2.1
66,Butaritari,17,KI,1562984258,79,3.07,172.79,84.32,12.62
67,Dikson,61,RU,1562984258,96,73.51,80.55,32.48,13.8
68,Saint Anthony,20,US,1562984259,34,43.97,-111.68,82.4,10.29
69,La Ronge,40,CA,1562984259,72,55.1,-105.3,66.2,6.93
70,Cherskiy,13,RU,1562984259,44,68.75,161.3,72.44,8.14
71,Ewa Beach,40,US,1562984240,46,21.32,-158.01,89.6,12.75
72,Peleduy,85,RU,1562984259,74,59.63,112.75,65.06,4.36
73,Maner,90,IN,1562984260,94,25.65,84.88,78.8,2.24
74,Honningsvag,100,NO,1562984260,81,70.98,25.97,45.26,11.81
75,Vao,87,EE,1562984260,70,59.1,26.19,52.64,7.05
76,Arraial do Cabo,0,BR,1562984260,82,-22.97,-42.02,66.14,7.16
77,Mataura,98,NZ,1562984261,75,-46.19,168.86,54.0,1.99
78,Gat,57,SN,1562984261,78,14.69,-16.54,77.0,6.93
79,Norman Wells,20,CA,1562984261,39,65.28,-126.83,66.2,5.82
80,Ribeira Grande,0,PT,1562984261,85,38.52,-28.7,71.72,12.57
81,Port Elizabeth,1,US,1562984262,88,39.31,-74.98,79.0,4.7
82,Mathbaria,100,BD,1562984176,84,22.29,89.96,82.34,5.82
83,Deep River,1,CA,1562984262,73,46.1,-77.49,69.8,4.32
84,Matara,29,BI,1562984262,81,-3.48,29.48,49.04,1.83
85,Husavik,51,CA,1562984262,85,50.56,-96.99,61.64,4.36
86,Sturgeon Bay,1,US,1562984028,65,44.83,-87.38,80.01,12.03
87,Saldanha,52,PT,1562984263,50,41.42,-6.55,73.88,3.51
88,Albany,1,US,1562984227,78,42.65,-73.75,73.4,12.75
89,Frankfort,1,US,1562984263,69,38.2,-84.87,80.6,3.36
90,Nanortalik,77,GL,1562984263,84,60.14,-45.24,42.92,4.63
91,Sao Joao da Barra,0,BR,1562984263,90,-21.64,-41.05,61.28,2.06
92,Mogadishu,65,SO,1562984184,84,2.04,45.34,76.04,11.03
93,Habiganj,75,BD,1562984264,94,24.38,91.42,80.6,3.36
94,Ilesha,100,NG,1562984264,97,7.14,5.26,69.02,0.63
95,Walvis Bay,0,NA,1562984264,93,-22.95,14.51,55.4,4.7
96,Fairbanks,75,US,1562984079,100,64.84,-147.72,63.0,4.7
97,Hermanus,0,ZA,1562984264,95,-34.42,19.24,52.0,10.94
98,Aljezur,67,PT,1562984265,94,37.31,-8.8,68.0,9.13
99,Deputatskiy,52,RU,1562984265,71,69.3,139.9,58.4,11.1
100,Padang,0,ID,1562984265,74,-0.92,100.36,81.26,4.07
101,Nikolskoye,83,RU,1562984265,87,59.7,30.79,53.01,2.64
102,Kozyatyn,0,UA,1562984266,95,49.71,28.83,50.3,6.51
103,Outjo,0,NA,1562984109,26,-20.11,16.16,57.2,4.7
104,Kloulklubed,75,PW,1562984266,78,7.04,134.26,82.4,18.34
105,Bafata,100,GW,1562984266,94,12.17,-14.67,75.14,3.98
106,Svetlogorsk,20,RU,1562984266,82,53.14,59.15,64.4,6.71
107,Wanning,75,AT,1562984267,93,48.64,13.53,59.0,9.17
